dpdp_id_1,dpdp_id_2,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,Robert Oxoby,Professor,PhD,University of California at Davis,2000,,,,,,,,,,,,
2,2,Eugene Beaulieu,Professor,PhD,,,,,,,,,,,,,,
3,3,Jeffrey Robert Church,Professor,PhD,"University of California, Berkeley",1989,0,3,13,3,2023,,,,,,,
4,4,Aidan Hollis,Professor,PhD,University of Toronto ,1996,0,2,76,6,,,,,,,,
5,5,Ronald D. Kneebone,Professor,PhD,McMaster University,1988,,,,,,,,,,,,
6,6,Mingshan Lu,Professor,PhD,Boston University,1997,0,2,49,,2023,,,,,,,
7,7,Arvind Magesan,Professor,PhD,University of Toronto ,2011,1,-1,9,,2022,,,,,,,
8,8,Kenneth James McKenzie,Professor,PhD,Queen’s University,1990,,,,,2022,,,,,,,
9,9,Apostolos Serletis,Professor,PhD,McMaster University,1984,0,18,11,,,,,,,,,
10,10,M. Scott Taylor,Professor,PhD,Queen’s University,1991,0,1,33,,,,,,,,,
11,11,Trevor Tombe,Professor,PhD,University of Toronto ,2011,1,0,16,5,,,,,,,,
12,12,Benjamin Crost,Associate Professor,PhD,University of California,2011,3,-4,17,,2024,,,,,,,
13,13,Jean-William Laliberté,Associate Professor,PhD,University of Toronto,2018,1,0,10,6,2024,,,,,,,
14,14,Lucija Muehlenbachs,Associate Professor,PhD,University of Maryland,2009,1,-3,16,5,,,,,,,,
15,15,Erica Myers,Associate Professor,PhD,University of California,2014,6,-4,15,,,,,,,,,
16,16,Blake Shaffer,Associate Professor,PhD,University of Calgary,2018,,,4,4,,,,,,,,
17,17,Stefan Staubli,Associate Professor,PhD,University of St. Gallen,2009,0,2,13,4,2023,,,,,,,
18,18,Lindsay Tedds,Associate Professor,PhD,McMaster University.,2006,3,-8,19,,2023,,,,,,,
19,19,Kunio Tsuyuhara,Associate Professor,PhD,University of Toronto,2011,,,,,,,,,,,,
20,20,Alexander Whalley,Associate Professor,PhD,University of Maryland,2006,0,5,9,5,,,,,,,,
21,21,Jennifer Winter,Associate Professor,PhD,University of Calgary,2011,0,4,9,,2024,,,,,,,
22,22,Yu (Sonja) Chen,Assistant Professor,PhD,University of Waterloo,2017,,,,,,,,,,,,
23,23,Kent Fellows,Assistant Professor,,,,,,,,,,,,,,,
24,24,Leonard Goff,Assistant Professor,PhD,Columbia University,2021,7,-13,8,,2023,,,,,,,
25,25,Terri Kneeland,Assistant Professor,,,,,,,,,,,,,,,
26,26,Atsuko Tanaka,Assistant Professor,PhD,University of Wisconsin-Madison,2013,0,7,5,,,,,,,,,
