dpdp_id_1,dpdp_id_2,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,Robert Oxoby,Professor,,,,,,,,,,,,,,,
2,2,Eugene Beaulieu,Professor,,,,,,,,,,,,,,,
3,3,Jeffrey Robert Church,Professor,,,,,,,,,,,,,,,
4,4,Aidan Hollis,Professor,,,,,,,,,,,,,,,
5,5,Ronald D. Kneebone,Professor,,,,,,,,,,,,,,,
6,6,Mingshan Lu,Professor,,,,,,,,,,,,,,,
7,7,Arvind Magesan,Professor,,,,,,,,,,,,,,,
8,8,Kenneth James McKenzie,Professor,,,,,,,,,,,,,,,
9,9,Apostolos Serletis,Professor,,,,,,,,,,,,,,,
10,10,M. Scott Taylor,Professor,,,,,,,,,,,,,,,
11,11,Trevor Tombe,Professor,,,,,,,,,,,,,,,
12,12,Benjamin Crost,Associate Professor,,,,,,,,,,,,,,,
13,13,Jean-William Laliberté,Associate Professor,,,,,,,,,,,,,,,
14,14,Lucija Muehlenbachs,Associate Professor,,,,,,,,,,,,,,,
15,15,Erica Myers,Associate Professor,,,,,,,,,,,,,,,
16,16,Blake Shaffer,Associate Professor,,,,,,,,,,,,,,,
17,17,Stefan Staubli,Associate Professor,,,,,,,,,,,,,,,
18,18,Lindsay Tedds,Associate Professor,,,,,,,,,,,,,,,
19,19,Kunio Tsuyuhara,Associate Professor,,,,,,,,,,,,,,,
20,20,Alexander Whalley,Associate Professor,,,,,,,,,,,,,,,
21,21,Jennifer Winter,Associate Professor,,,,,,,,,,,,,,,
22,22,Yu (Sonja) Chen,Assistant Professor,,,,,,,,,,,,,,,
23,23,Kent Fellows,Assistant Professor,,,,,,,,,,,,,,,
24,24,Leonard Goff,Assistant Professor,,,,,,,,,,,,,,,
25,25,Terri Kneeland,Assistant Professor,,,,,,,,,,,,,,,
26,26,Atsuko Tanaka,Assistant Professor,,,,,,,,,,,,,,,
