dpdp_id_1,dpdp_id_2,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,"Akbulut-Yuksel, Mevlude",Professor,,,,,,,,,,,,,,,
2,2,"Boulatoff, Catherine",University Teaching Fellow,,,,,,,,,,,,,,,
3,3,"Bourgeois, Jean-Philippe",Instructor,,,,,,,,,,,,,,,
4,4,"Cyrus, Teresa",Associate Professor,,,,,,,,,,,,,,,
5,5,"Forsdyke, Ruth",Senior Instructor,,,,,,,,,,,,,,,
6,6,"Giusto, Andrea",Associate Professor,,,,,,,,,,,,,,,
7,7,"Iscan, Talan",Professor,,,,,,,,,,,,,,,
8,8,"Kotlyarova, Yulia",Associate Professor,,,,,,,,,,,,,,,
9,9,"Lesser, Barry",Professor Emeritus/ China Program Director,,,,,,,,,,,,,,,
10,10,"McNeil, James",Assistant Professor,,,,,,,,,,,,,,,
11,11,"Nazir, Maliha",Instructor,,,,,,,,,,,,,,,
12,12,"Ntantamis, Christos",Instructor,,,,,,,,,,,,,,,
13,13,"Okoye, Dozie",Associate Professor,,,,,,,,,,,,,,,
14,14,"Osberg, Lars",Professor,,,,,,,,,,,,,,,
15,15,"Rosenblum, Daniel",Professor,,,,,,,,,,,,,,,
16,16,"Shamsuddin, Mrittika",Instructor,,,,,,,,,,,,,,,
17,17,"Tumennasan, Norovsambuu",Professor,,,,,,,,,,,,,,,
18,18,"Warman, Casey",Professor,,,,,,,,,,,,,,,
19,19,"Yuksel, Mutlu",Professor,,,,,,,,,,,,,,,
20,20,"Zhou, Weina",Associate Professor,,,,,,,,,,,,,,,
