dpdp_id_1,dpdp_id_2,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,Nicolas Ajzenman,Assistant Professor,PhD,Sciences Po,2018,1,-3,7,,2022,,,,,,,
2,2,Francisco Alvarez-Cuadrado,Associate Professor,PhD,University of Washington,2004,1,0,10,2,2011,,,,,,,
3,3,Francesco Amodio,Associate Professor,PhD,Universitat Pompeu Fabra,2015,0,3,10,2,2024,,,,,,,
4,4,Daniel Barczyk,Associate Professor,PhD,New York University,2011,0,3,6,,2020,,,,,,,
5,5,Leonie Baumann,Assistant Professor,PhD, University of Hamburg,2017,5,-8,7,5,2019,,,,,,,
6,6,Hassan Benchekroun,Professor,PhD,Université Laval,1998,1,0,48,2,2021,,,,,,,
7,7,Robert D. Cairns,Professor,PhD,"Massachusetts Institute of
Technology",1978,0,23,49,,,,,,,,,
8,8,Santiago Camara,Assistant Professor,PhD,Northwestern University,2023,2,-3,2,,2023,,,,,,,
9,9,Rui Castro,Professor,PhD, University of Rochester,2000,0,3,13,,2017,,,,,,,
10,10,Saraswata Chaudhuri,Associate Professor,PhD,University of Washington,2008,0,1,10,5,,,,,,,,
11,11,Matthieu Chemin,Associate Professor,PhD,London School of Economics,2007,0,1,21,6,,,,,,,,
12,12,Russell Davidson,Professor & Canada Research Chair Tier 1,PhD,University of Glasgow,1966,0,2,97,,2016,,,,,,,
13,13,Paul Dickinson,Faculty Lecturer,,,,,,,,,,,,,,,
14,14,Jean-Marie Dufour,Professor & William Dow Chair of Political Economy,PhD,University of Chicago,1979,,,,,2021,,,,,,,
15,15,Rohan Dutta,Associate Professor,PhD,Washington University,2012,1,0,11,5,,,,,,,,
16,16,Mayssun El-Attar,Faculty Lecturer,PhD,European University Institute ,,,,,,,,,,,,,
17,17,Jim Engle-Warnick,Associate Professor,PhD,University of Pittsburgh,,,,,,,,,,,,,
18,18,Larry Epstein,Professor,PhD,University of British Columbia,1977,2,-3,79,,2021,,,,,,,
19,19,John W Galbraith,Professor,PhD, University of Oxford,1987,1,0,50,2,2022,,,,,,,
20,20,Nicolas Gendron-Carrier,Assistant Professor,PhD,University of Toronto,,,,,,,,,,,,,
21,21,Silvia Goncalves,Professor,PhD,University of California,2000,0,2,34,,2024,,,,,,,
22,22,Franque Grimard,Associate Professor,PhD,Princeton University,1995,0,1,21,,,,,,,,,
23,23,Fabian Lange,Professor & Canada Research Chair Tier 2,PhD,University of Chicago,2004,1,-1,17,,2019,,,,,,,
24,24,Sonia Laszlo,Associate Professor,PhD,University of Toronto,,,,19,,,,,,,,,
25,25,Markus Poschke,Professor & William Dawson Scholar,PhD,European University Institute (EUI) Florence,2007,0,2,11,4,2016,,,,,,,
26,26,Francisco Ruge-Murcia,Professor & Chair,PhD,University of Virginia,1993,0,2,42,2,,,,,,,,
27,27,Fernando Saltiel,Assistant Professor,PhD,University of Maryland,2019,2,-4,8,,,,,,,,,
28,28,Erin Strumpf,Professor & William Dawson Scholar,PhD,Harvard University,2007,,,,5,,,,,,,,
29,29,Licun Xue,Associate Professor,PhD, McGill University,1996,0,1,23,,,,,,,,,
30,30,Ling Ling Zhang,Faculty Lecturer,PhD,McGill University,2008,1,0,7,6,,,,,,,,
31,31,Victoria Zinde-Walsh,Emeritus Full Professor (Post-Retirement),PhD,Moscow State University,1982,8,-12,43,,,,,,,,,
