dpdp_id_1,dpdp_id_2,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,Nicolas Ajzenman,Assistant Professor,,,,,,,,,,,,,,,
2,2,Francisco Alvarez-Cuadrado,Associate Professor,,,,,,,,,,,,,,,
3,3,Francesco Amodio,Associate Professor,,,,,,,,,,,,,,,
4,4,Daniel Barczyk,Associate Professor,,,,,,,,,,,,,,,
5,5,Leonie Baumann,Assistant Professor,,,,,,,,,,,,,,,
6,6,Hassan Benchekroun,Professor,,,,,,,,,,,,,,,
7,7, Cairns,Professor,,,,,,,,,,,,,,,
8,8,Santiago Camara,Assistant Professor,,,,,,,,,,,,,,,
9,9,Rui Castro,Professor,,,,,,,,,,,,,,,
10,10,Saraswata Chaudhuri,Associate Professor,,,,,,,,,,,,,,,
11,11,Matthieu Chemin,Associate Professor,,,,,,,,,,,,,,,
12,12,Russell Davidson,Professor & Canada Research Chair Tier 1,,,,,,,,,,,,,,,
13,13,Paul Dickinson,Faculty Lecturer,,,,,,,,,,,,,,,
14,14,Jean-Marie Dufour,Professor & William Dow Chair of Political Economy,,,,,,,,,,,,,,,
15,15,Rohan Dutta,Associate Professor,,,,,,,,,,,,,,,
16,16,Mayssun El-Attar,Faculty Lecturer,,,,,,,,,,,,,,,
17,17,Jim Engle-Warnick,Associate Professor,,,,,,,,,,,,,,,
18,18,Larry Epstein,Professor,,,,,,,,,,,,,,,
19,19,John W Galbraith,Professor,,,,,,,,,,,,,,,
20,20,Nicolas Gendron-Carrier,Assistant Professor,,,,,,,,,,,,,,,
21,21,Silvia Goncalves,Professor,,,,,,,,,,,,,,,
22,22,Franque Grimard,Associate Professor,,,,,,,,,,,,,,,
23,23,Fabian Lange,Professor & Canada Research Chair Tier 2,,,,,,,,,,,,,,,
24,24,Sonia Laszlo,Associate Professor,,,,,,,,,,,,,,,
25,25,Markus Poschke,Professor & William Dawson Scholar,,,,,,,,,,,,,,,
26,26,Francisco Ruge-Murcia,Professor & Chair,,,,,,,,,,,,,,,
27,27,Fernando Saltiel,Assistant Professor,,,,,,,,,,,,,,,
28,28,Erin Strumpf,Professor & William Dawson Scholar,,,,,,,,,,,,,,,
29,29,Licun Xue,Associate Professor,,,,,,,,,,,,,,,
30,30,Ling Ling Zhang,Faculty Lecturer,,,,,,,,,,,,,,,
31,31,Victoria Zinde-Walsh,Emeritus Full Professor (Post-Retirement),,,,,,,,,,,,,,,
