NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Chapters&Essays,ConferenceProceedings,Notes
Thomas Abrams,Undergraduate Chair and Assistant Professor,PhD,Carleton,2014,2,0,33,5,2024,,,,,,1,,,
Stephen Baron,Professor,PhD,Alberta,1994,4,-3,50,6,2024,,,,,,,,,
Annette Burfoot,Professor,Dphil,Sussex,,,,,,,,,,,,,,,
Golshan Golriz,Assistant Professor,PhD,McGill,2020,1,-2,4,,2021,,,,,,,,,
Fauzia Husain,Assistant Professor,PhD,Virginia,2019,0,1,2,,2024,,,,,,1,1,,
Fiona Kay ,Professor,PhD,Toronto,1992,2,-2,41,4,2022,,,,1,,2,17,,
Nicole Myers,Associate Professor,PhD,Toronto,2013,4,-4,10,,2023,,,,,2,,,,
Alana Saulnier,Assistant Professor,PhD,Queens,2016,7,-4,22,4,2024,,,,,2,,,,
Victoria Sytsma,Associate Professor,,,,,,,,,,,,,,,,,
Martin Hand,Professor,PhD,"York, UK",,,,,,,,,,,,,,,
Norma Mollers,Associate Professor,PhD,Postdam,,,,,,,,,,,,,,,
Pinar Tuzcu,Assistant Professor,DPhil,Kassel,2015,0,1,5,,2022,,,,,,,,,
