NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Chapters&Essays,ConferenceProceedings,Notes
Alyssa Alexander,Lecturer,PhD,North Carolina State University,,,,,,,,,,,,,,,
Amanda Cheong,Assistant Professor,PhD,Princeton University,2019,1,0,7,3,2024,0.875,1.4,,3,4,0,,,
Amin Ghaziani,Professor,PhD,Northwestern University,2006,5,-2,26,4,2024,1.181818182,1.444444444,,,,6,32,,
Amy Hanser,Associate Professor,PhD,University of California-Berkeley,,,,,,,,,,,,,,,
Andrew Jorgenson,Professor,PhD,University of California-Riverside,2004,7,-1,102,2,2024,4.636363636,5.1,,4,25,6,20,,
Anna Dawczyk,Lecturer,PhD,University of Guelph,,,,,,,,,,,,,,,
Anne Martin-Matthews,Professor,PhD,McMaster University,,,,,,,,,,,,,,,
Aryan Karimi,Assistant Professor,PhD,University of Alberta,2019,7,-3,20,5,2024,2,4,,,,,,,
Carrie Yodanis,Associate Professor,PhD,University of New Hampshire,,,,,,,,,,,,,,,
Catherine Corrigall-Brown,Professor and Department Head,PhD,University of California-Irvine,2007,2,-2,17,3,2022,0.944444444,1.133333333,,,,3,18,,
Chelsea Freeborn,Lecturer,PhD,University of Alberta,,,,,,,,,,,,,,,
Clayton Childress,Associate Professor,PhD,University of California-Santa Barbara,2012,4,-1,20,4,2023,1.333333333,1.818181818,,,21,3,,,
David Tindall,Professor,PhD,University of Toronto,,,,,,,,,,,,,,,
Elic Chan,Lecturer,PhD,University of Toronto,,,,,,,,,,,,,,,
Elizabeth Hirsh,Professor,PhD,University of Washington,2006,0,2,17,5,2021,0.85,1.133333333,,,3,,,,
Emily Huddart Kennedy,Associate Professor and Associate Head,PhD,University of Alberta,2011,6,-3,38,4,2024,2.235294118,2.923076923,,2,8,3,14,7,
Ethan Raker,Assistant Professor,PhD,Harvard University,2021,11,-3,16,2,2024,3.2,5.333333333,,9,2,,,,
Gerry Veenstra,Professor,PhD,McMaster University,1999,6,-4,84,5,2024,2.8,3.36,,,18,,,,
Guy Stecklov,Professor,PhD,University of California-Berkeley,1996,1,-1,42,2,2024,1.4,1.5,,,,,,,
Jennifer Berdahl,Professor,PhD,University of Illinois Champaign-Urbana,1996,3,0,32,3,2022,1.103448276,1.230769231,,3,9,1,11,5,
Katherine Lyon,Assistant Professor of Teaching,PhD,University of British Columbia,,,,,,,,,,,,,,,
Kathy Greaves,Lecturer,PhD,Oregon State University,,,,,,,,,,,,,,,
Kerry Greer,Associate Professor of Teaching,PhD,Indiana University,,,,,,,,,,,,,,,
Kimberly Huyser,Associate Professor,PhD,"University of Texas, Austin",2010,1,0,12,,,,,,,,,,,
Laura Nelson,Assistant Professor,PhD,University of California-Berkeley,2014,0,6,13,5,2023,0.928571429,1.444444444,,2,4,3,,,
Lindsey Richardson,Associate Professor,PhD,University of Oxford,2012,,,,4,,,,,,,,,,
Nathanael Lauster,Associate Professor,PhD,Brown University,,,,,,2020,,,,,,,,,
Neda Maghbouleh,Associate Professor,PhD,University of California-Santa Barbara,2012,1,-2,12,4,2023,0.8,1.090909091,,4,16,1,3,,
Neil Armitage,Lecturer,PhD,University of Manchester,,,,,,,,,,,,,,,
Oral Robinson,Lecturer,PhD,University of Saskatchewan,,,,,,,,,,,,,,,
Phyllis Johnson,Associate Professor,PhD,Ohio State University,,,,,,,,,,,,,,,
Qiang Fu,Associate Professor,PhD,Duke University,2015,18,-11,48,5,2023,3.692307692,6,,,,8,,,
Renisa Mawani,Professor,PhD,University of Toronto,2001,,,,,,,,,,,,,,
Rima Wilkes,Professor,PhD,University of Toronto,2001,0,2,57,4,2024,2.111111111,2.47826087,,,,1,12,,
Sean Lauer,Professor,PhD,University of New Hampshire,1999,,,,,,,,,,,,,,
Seth Abrutyn,Associate Professor,PhD,University of California-Riverside,2009,1,0,33,5,2018,2.357142857,3.666666667,,10,24,4,,,
Silvia Bartolic,Associate Professor of Teaching,PhD,"University of Texas, Austin",,,,,,,,,,,,,,,
Sylvia Fuller,Professor,PhD,Rutgers University,,,,,,,,,,,,,,,
Tony Silva,Assistant Professor,PhD,University of Oregon,,,,,,,,,,,,,,,
Yue Qian,Associate Professor,PhD,Ohio State University,2016,6,-2,63,4,2024,5.25,7.875,,,7,,,,
