dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
1,1,McGill,Economics,Nicolas Ajzenman,Assistant Professor,PhD,Sciences Po,2018,1,-3,7,,2022,,,,,,,
2,2,McGill,Economics,Francisco Alvarez-Cuadrado,Associate Professor,PhD,University of Washington,2004,1,0,10,2,2011,,,,,,,
3,3,McGill,Economics,Francesco Amodio,Associate Professor,PhD,Universitat Pompeu Fabra,2015,0,3,10,2,2024,,,,,,,
4,4,McGill,Economics,Daniel Barczyk,Associate Professor,PhD,New York University,2011,0,3,6,,2020,,,,,,,
5,5,McGill,Economics,Leonie Baumann,Assistant Professor,PhD, University of Hamburg,2017,5,-8,7,5,2019,,,,,,,
6,6,McGill,Economics,Hassan Benchekroun,Professor,PhD,Université Laval,1998,1,0,48,2,2021,,,,,,,
7,7,McGill,Economics,Robert D. Cairns,Professor,PhD,Massachusetts Institute of Technology,1978,0,23,49,,,,,,,,,
8,8,McGill,Economics,Santiago Camara,Assistant Professor,PhD,Northwestern University,2023,2,-3,2,,2023,,,,,,,
9,9,McGill,Economics,Rui Castro,Professor,PhD,University of Rochester,2000,0,3,13,,2017,,,,,,,
10,10,McGill,Economics,Saraswata Chaudhuri,Associate Professor,PhD,University of Washington,2008,0,1,10,5,,,,,,,,
11,11,McGill,Economics,Matthieu Chemin,Associate Professor,PhD,London School of Economics,2007,0,1,21,6,,,,,,,,
12,12,McGill,Economics,Russell Davidson,Professor & Canada Research Chair Tier 1,PhD,University of Glasgow,1966,0,2,97,,2016,,,,,,,
13,13,McGill,Economics,Paul Dickinson,Faculty Lecturer,,,,,,,,,,,,,,,
14,14,McGill,Economics,Jean-Marie Dufour,Professor & William Dow Chair of Political Economy,PhD,University of Chicago,1979,,,,,2021,,,,,,,
15,15,McGill,Economics,Rohan Dutta,Associate Professor,PhD,Washington University,2012,1,0,11,5,,,,,,,,
16,16,McGill,Economics,Mayssun El-Attar,Faculty Lecturer,PhD,European University Institute ,,,,,,,,,,,,,
17,17,McGill,Economics,Jim Engle-Warnick,Associate Professor,PhD,University of Pittsburgh,,,,,,,,,,,,,
18,18,McGill,Economics,Larry Epstein,Professor,PhD,University of British Columbia,1977,2,-3,79,,2021,,,,,,,
19,19,McGill,Economics,John W Galbraith,Professor,PhD, University of Oxford,1987,1,0,50,2,2022,,,,,,,
20,20,McGill,Economics,Nicolas Gendron-Carrier,Assistant Professor,PhD,University of Toronto,,,,,,,,,,,,,
21,21,McGill,Economics,Silvia Goncalves,Professor,PhD,University of California,2000,0,2,34,,2024,,,,,,,
22,22,McGill,Economics,Franque Grimard,Associate Professor,PhD,Princeton University,1995,0,1,21,,,,,,,,,
23,23,McGill,Economics,Fabian Lange,Professor & Canada Research Chair Tier 2,PhD,University of Chicago,2004,1,-1,17,,2019,,,,,,,
24,24,McGill,Economics,Sonia Laszlo,Associate Professor,PhD,University of Toronto,,,,19,,,,,,,,,
25,25,McGill,Economics,Markus Poschke,Professor & William Dawson Scholar,PhD,European University Institute (EUI) Florence,2007,0,2,11,4,2016,,,,,,,
26,26,McGill,Economics,Francisco Ruge-Murcia,Professor & Chair,PhD,University of Virginia,1993,0,2,42,2,,,,,,,,
27,27,McGill,Economics,Fernando Saltiel,Assistant Professor,PhD,University of Maryland,2019,2,-4,8,,,,,,,,,
28,28,McGill,Economics,Erin Strumpf,Professor & William Dawson Scholar,PhD,Harvard University,2007,,,,5,,,,,,,,
29,29,McGill,Economics,Licun Xue,Associate Professor,PhD,McGill University,1996,0,1,23,,,,,,,,,
30,30,McGill,Economics,Ling Ling Zhang,Faculty Lecturer,PhD,McGill University,2008,1,0,7,6,,,,,,,,
31,31,McGill,Economics,Victoria Zinde-Walsh,Emeritus Full Professor (Post-Retirement),PhD,Moscow State University,1982,8,-12,43,,,,,,,,,
33,33,Simon Fraser University,Economics,Victor Aguiar,Associate Professor,PhD,Brown University,2017,1,0,10,5,2022,,,,,,,
34,34,Simon Fraser University,Economics,Douglas Allen,Professor,PhD,University of Washington,1988,1,-3,68,4,2024,,,2,2,16,7,"The Institutional Revolution: Measurement & The Economic Emergence of the Modern World (Chicago: The University of Chicago Press, 2012)"
35,35,Simon Fraser University,Economics,Bertille Antoine,"Professor, Graduate Chair",PhD,Université de Montréal,2007,1,0,16,2,2023,,,6,,,,lots of conference?
36,36,Simon Fraser University,Economics,Fernando Aragon Sanchez,"Professor, Undergraduate Chair",PhD,London School of Economics,2010,0,3,18,4,2023,,,6,4,4,,
37,37,Simon Fraser University,Economics,Chris Bidner,Associate Professor,PhD,University of British Columbia,2009,0,1,8,6,2022,,,5,8,,,
38,38,Simon Fraser University,Economics,Serena Canaan,Assistant Professor,PhD,"University of California, Santa Barbara",2016,0,2,8,4,2023,,,3,2,,,
39,39,Simon Fraser University,Economics,David Cox,University Lecturer,PhD,Queen's University,,,,,,,,,,,,,
40,40,Simon Fraser University,Economics,Eliav Danziger,Assistant Professor,PhD,Princeton University,2014,0,1,2,5,2024,,,4,,,,
41,41,Simon Fraser University,Economics,Minjie Deng,Assistant Professor,PhD,University of Rochester,2020,1,0,3,5,2024,,,5,4,,,lots of conferences?
42,42,Simon Fraser University,Economics,Sepideh Fotovatian,Lecturer,PhD,Monash University,,,,,,,,,,,,,
43,43,Simon Fraser University,Economics,David Freeman,Associate Professor,PhD,University of British Columbia,2013,0,2,13,5,2024,,,1,,,,top paper = lots of presentation
44,44,Simon Fraser University,Economics,Jane Friesen,Professor,PhD,University of Toronto,1991,1,0,20,7,2013,,,3,4,8,,
45,45,Simon Fraser University,Economics,Michael Gilraine,Assistant Professor,PhD,University of Toronto,2017,0,3,6,6,2023,,,9,3,,,working papers has year and date
46,46,Simon Fraser University,Economics,Lucas Herrenbrueck,Associate Professor,PhD,"University of California, Davis",2014,0,2,10,5,2022,,,,5,,,presentation organized per paper
47,47,Simon Fraser University,Economics,Alexander Karaivanov,Professor,PhD,University of Chicago,2003,0,3,24,4,2024,,,10,,6,,
48,48,Simon Fraser University,Economics,Kenneth Kasa,Professor,PhD,Berkeley,1981,,,,4,,,,,,,,
49,49,Simon Fraser University,Economics,Anke Kessler,"Professor, Department Chair",PhD,University of Bonn,1996,0,3,20,5,2017,,,,6,,,
50,50,Simon Fraser University,Economics,Dongwoo Kim,Assistant Professor,PhD,University College London,2019,1,-1,6,4,2022,,,2,,,,
51,51,Simon Fraser University,Economics,John Knowles,Professor,PhD,University of Rochester,1999,0,1,11,16,2022,,,5,,,,
52,52,Simon Fraser University,Economics,Brian Krauth,Associate Professor,PhD,University of Wisconsin,1999,0,4,20,4,2024,,,3,,,,
53,53,Simon Fraser University,Economics,Shih En Lu,Associate Professor,PhD,Harvard University,2011,0,4,6,3,2020,,,2,1,,,
54,54,Simon Fraser University,Economics,Christoph Luelfesmann,Professor,PhD,University of Bonn,1996,1,0,18,5,2018,,,,,,,
55,55,Simon Fraser University,Economics,Steeve Mongrain,Professor,PhD,Queen's University,1998,0,1,25,4,2024,,,,6,,,
56,56,Simon Fraser University,Economics,Pierre Mouganie,Assistant Professor,PhD,"Texas A&M University, College Station (TAMU)",2015,0,3,8,4,2024,,,4,,,,
57,57,Simon Fraser University,Economics,Gordon Myers,Professor,PhD,McMaster University,1990,2,0,26,5,2022,,,,2,2,,
58,58,Simon Fraser University,Economics,Krishna Pendakur,"Professor, Associate Chair",PhD,"University of California, Berkeley",1994,0,1,50,4,2023,,,5,,,,conference cities are interesting
59,59,Simon Fraser University,Economics,Luba Petersen,Associate Professor,PhD,"University of California, Santa Cruz",2012,0,2,13,5,2024,,,6,6,,,
60,60,Simon Fraser University,Economics,Marie Rekkas,Associate Professor,PhD,University of Toronto,2002,0,3,19,5,2018,,,,,,,
61,61,Simon Fraser University,Economics,Arthur Robson,Professor,PhD,Massachusetts Institute of Technology,1974,0,2,78,4,2024,,,1,,,1,
