NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes
Davide ALONZO,Assistant Professor,PhD,UBC,2021,0,,0,6,2023,0,0,2,2,,,10 presentations for current research
William ARBOUR,Assistant Professor,PhD,Toronto,2023,0,1,1,5,2024,0.166666667,,4,3,,,
Joao Alfredo GALINDO DA FONSECA,Assistant Professor,PhD,UBC,2018,0,2,4,6,2023,0.363636364,0.8,3,1,,,
Max Antoine LESELLIER,Assistant Professor,PhD,Toulouse,2023,0,,0,5,2024,0,0,4,3,,,
Mathieu MARCOUX,Assistant Professor,PhD,Toronto,2017,0,4,5,6,2024,0.384615385,0.714285714,,2,,,
Hyejin PARK,Assistant Professor,PhD,Chicago,2022,0,,0,4,2024,0,0,3,2,,,start presentation participation in PhD
Laëtitia RENÉE,Assistant Professor,PhD,McGill,2022,1,0,2,8,2024,0.2,1,3,,,,
Guillaume SUBLET,Assistant Professor,PhD,Minnesota,2018,1,0,3,6,2023,0.272727273,0.6,,2,,,
Massimiliano AMARANTE,Associate Professor,PhD,MIT,1999,0,4,21,6,2020,0.777777778,1,5,4,,,
Andriana BELLOU,Associate Professor,PhD,Rochester,2009,0,3,8,4,2024,0.421052632,0.533333333,3,5,,,
Deniz DIZDAR,Associate Professor,PhD,Bonn,2013,1,-2,6,6,2022,0.4,0.666666667,2,1,,,
Raphaël GODEFROY,Associate Professor,PhD,Stanford,2009,1,-5,10,6,2024,0.476190476,0.666666667,3,,,,
Sean HORAN,Associate Professor,PhD,Boston,2012,0,3,9,8,2024,0.45,0.75,,6,,,
Nicolas KLEIN,Associate Professor,PhD,Munich,2010,0,1,13,3,2024,0.764705882,0.928571429,3,,,,
Joshua LEWIS,Associate Professor,PhD,Toronto,2013,0,5,13,7,2024,0.722222222,1.181818182,3,,,,
William J. McCAUSLAND,Associate Professor,PhD,Minnesota,2002,0,5,12,6,2024,0.428571429,0.545454545,,,,,
Walter BOSSERT,Full Professor,PhD,Karlsruhe,1988,2,-2,163,1,2024,4.405405405,4.527777778,,3,,4,
Emanuela CARDIA,Full Professor,PhD,Berkeley,,,,19,,,,,,,,,
Marine CARRASCO,Full Professor,PhD,Toulouse,1995,0,5,36,3,2024,1.125,1.24137931,2,6,,,
Lars EHLERS,Full Professor,PhD,Maastricht,2001,5,-1,50,4,2024,1.851851852,2.173913043,,,,,
Abraham J. HOLLANDER,Full Professor,,,,,,,,,,,,,,,
Benoit PERRON,Full Professor,PhD,Yale,1998,0,5,22,5,2023,0.733333333,0.88,,2,6,,
Michel POITEVIN,Full Professor,PhD,UBC,1987,0,2,27,5,2023,0.710526316,0.75,,,,,
