dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed
1,1,McGill,Economics,Nicolas Ajzenman,Assistant Professor,PhD,Sciences Po,2018,1,-3,7,,2022,,,,,,,,,,,43,Sciences Po,100,43,closest_use_2024,"['Nicolas Ajzenman', [{'entity': 'B-PER', 'score': 0.99947554, 'index': 1, 'word': 'Nicolas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99938476, 'index': 2, 'word': 'A', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.99177635, 'index': 3, 'word': '##j', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.98532945, 'index': 4, 'word': '##zen', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.9633968, 'index': 5, 'word': '##man', 'start': 13, 'end': 16}], 'Nicolas Ajzenman']","[['Nicolas Ajzenman', 'PERSON']]",Nicolas Ajzenman,TRUE,,Nicolas,,Ajzenman,,
2,2,McGill,Economics,Francisco Alvarez-Cuadrado,Associate Professor,PhD,University of Washington,2004,1,0,10,2,2011,,,,,,,,82,University of Washington,100,157,University of Washington,100,82,closest_use_2005,"['Francisco Alvarez-Cuadrado', [{'entity': 'B-PER', 'score': 0.99883217, 'index': 1, 'word': 'Francisco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.9990357, 'index': 2, 'word': 'Alvarez', 'start': 10, 'end': 17}, {'entity': 'I-PER', 'score': 0.70006645, 'index': 3, 'word': '-', 'start': 17, 'end': 18}, {'entity': 'I-PER', 'score': 0.9985751, 'index': 4, 'word': 'C', 'start': 18, 'end': 19}, {'entity': 'I-PER', 'score': 0.6803117, 'index': 5, 'word': '##uad', 'start': 19, 'end': 22}, {'entity': 'I-PER', 'score': 0.987186, 'index': 6, 'word': '##rado', 'start': 22, 'end': 26}], 'Francisco Alvarez-Cuadrado']","[['Francisco Alvarez-Cuadrado', 'PERSON']]",Francisco Alvarez-Cuadrado,TRUE,,Francisco,,Alvarez-Cuadrado,,
3,3,McGill,Economics,Francesco Amodio,Associate Professor,PhD,Universitat Pompeu Fabra,2015,0,3,10,2,2024,,,,,,,,47,Universitat Pompeu Fabra,100,77,"Universitat Pompeu Fabra, Barcelona School of Economics (BSE)",90,77,closest_use_2024,"['Francesco Amodio', [{'entity': 'B-PER', 'score': 0.9985214, 'index': 1, 'word': 'Francesco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99903405, 'index': 2, 'word': 'Am', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.99298465, 'index': 3, 'word': '##od', 'start': 12, 'end': 14}, {'entity': 'I-PER', 'score': 0.9814804, 'index': 4, 'word': '##io', 'start': 14, 'end': 16}], 'Francesco Amodio']",[],Francesco Amodio,TRUE,,Francesco,,Amodio,,
4,4,McGill,Economics,Daniel Barczyk,Associate Professor,PhD,New York University,2011,0,3,6,,2020,,,,,,,,4,New York University,100,18,New York University (NYU),95,4,closest_use_2005,"['Daniel Barczyk', [{'entity': 'B-PER', 'score': 0.99938357, 'index': 1, 'word': 'Daniel', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99928063, 'index': 2, 'word': 'Bar', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.99562657, 'index': 3, 'word': '##cz', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.9666394, 'index': 4, 'word': '##yk', 'start': 12, 'end': 14}], 'Daniel Barczyk']","[['Daniel Barczyk', 'PERSON']]",Daniel Barczyk,TRUE,,Daniel,,Barczyk,,
5,5,McGill,Economics,Leonie Baumann,Assistant Professor,PhD, University of Hamburg,2017,5,-8,7,5,2019,,,,,,,,,,,,,,,,"['Leonie Baumann', [{'entity': 'B-PER', 'score': 0.9979715, 'index': 1, 'word': 'Leon', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9109029, 'index': 2, 'word': '##ie', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993056, 'index': 3, 'word': 'Ba', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9933722, 'index': 4, 'word': '##uman', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.89696455, 'index': 5, 'word': '##n', 'start': 13, 'end': 14}], 'Leonie Baumann']","[['Leonie Baumann', 'PERSON']]",Leonie Baumann,TRUE,,Leonie,,Baumann,,
6,6,McGill,Economics,Hassan Benchekroun,Professor,PhD,Université Laval,1998,1,0,48,2,2021,,,,,,,,,,,,,,,,"['Hassan Benchekroun', [{'entity': 'B-PER', 'score': 0.99905044, 'index': 1, 'word': 'Hassan', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99924266, 'index': 2, 'word': 'Ben', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.998353, 'index': 3, 'word': '##che', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.97985727, 'index': 4, 'word': '##k', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.9259176, 'index': 5, 'word': '##rou', 'start': 14, 'end': 17}, {'entity': 'I-PER', 'score': 0.92719537, 'index': 6, 'word': '##n', 'start': 17, 'end': 18}], 'Hassan Benchekroun']","[['Hassan Benchekroun', 'PERSON']]",Hassan Benchekroun,TRUE,,Hassan,,Benchekroun,,
7,7,McGill,Economics,Robert D. Cairns,Professor,PhD,Massachusetts Institute of Technology,1978,0,23,49,,,,,,,,,,8,Massachusetts Institute of Technology,100,4,Massachusetts Institute of Technology (MIT),95,8,closest_use_2005,"['Robert D. Cairns', [{'entity': 'B-PER', 'score': 0.99830747, 'index': 1, 'word': 'Robert', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99458826, 'index': 2, 'word': 'D', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.44446412, 'index': 3, 'word': '.', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.9973929, 'index': 4, 'word': 'Cairns', 'start': 10, 'end': 16}], 'Robert D. Cairns']","[['Robert D. Cairns', 'PERSON']]",Robert D. Cairns,TRUE,,Robert,D.,Cairns,,
8,8,McGill,Economics,Santiago Camara,Assistant Professor,PhD,Northwestern University,2023,2,-3,2,,2023,,,,,,,,22,Northwestern University,100,39,Northwestern University,100,39,closest_use_2024,"['Santiago Camara', [{'entity': 'B-PER', 'score': 0.9979798, 'index': 1, 'word': 'Santiago', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.99880767, 'index': 2, 'word': 'Cam', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9702363, 'index': 3, 'word': '##ara', 'start': 12, 'end': 15}], 'Santiago Camara']","[['Santiago Camara', 'PERSON']]",Santiago Camara,TRUE,,Santiago,,Camara,,
9,9,McGill,Economics,Rui Castro,Professor,PhD,University of Rochester,2000,0,3,13,,2017,,,,,,,,79,University of Rochester,100,248,University of Rochester,100,79,closest_use_2005,"['Rui Castro', [{'entity': 'B-PER', 'score': 0.9956813, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.78430957, 'index': 2, 'word': '##ui', 'start': 1, 'end': 3}, {'entity': 'I-PER', 'score': 0.99814236, 'index': 3, 'word': 'Castro', 'start': 4, 'end': 10}], 'Rui Castro']","[['Rui Castro', 'PERSON']]",Rui Castro,TRUE,,Rui,,Castro,,
10,10,McGill,Economics,Saraswata Chaudhuri,Associate Professor,PhD,University of Washington,2008,0,1,10,5,,,,,,,,,82,University of Washington,100,157,University of Washington,100,82,closest_use_2005,"['Saraswata Chaudhuri', [{'entity': 'B-PER', 'score': 0.9815098, 'index': 1, 'word': 'Sara', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.67300373, 'index': 2, 'word': '##s', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.63659793, 'index': 3, 'word': '##wat', 'start': 5, 'end': 8}, {'entity': 'I-PER', 'score': 0.93644106, 'index': 4, 'word': '##a', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.99845433, 'index': 5, 'word': 'Cha', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.76012707, 'index': 6, 'word': '##ud', 'start': 13, 'end': 15}, {'entity': 'I-PER', 'score': 0.30579707, 'index': 8, 'word': '##i', 'start': 18, 'end': 19}], 'Saraswata Chaudhuri']",[],Saraswata Chaudhuri,TRUE,,Saraswata,,Chaudhuri,,
