,dpdp_id_1,dpdp_id_2,University,AcademicUnit,NameRaw,AcademicRank,HD,HDSchool,HDYear,NoPPubGrad,FirstPPubYearRel,TotalPPub,TotalYearPhD,TotalPPubYearEnd,YearAvgPPubStartGrad,YearAvgPPubEndPhD,TotalWorkingPaper,TotalWorkInProgress,TotalOtherPub,TotalBook,Notes,Rank_HDSchool_2005,Rank_HDSchool_Cand_2005,Rank_HDSchool_Score_2005,Rank_HDSchool_2024,Rank_HDSchool_Cand_2024,Rank_HDSchool_Score_2024,RepecRank,RankSource,NameBertNer,NameSpacyNer,FacNameCleanNER,NerNameBool,title_parsed,first_parsed,middle_parsed,last_parsed,suffix_parsed,nickname_parsed,Gender,GenderBinary,__name,asian,hispanic,nh_black,nh_white,race,RaceBinary
0,1,1,McGill,Economics,Nicolas Ajzenman,Assistant Professor,PhD,Sciences Po,2018.0,1.0,-3.0,7.0,,2022.0,,,,,,,,,,,43.0,Sciences Po,100.0,43.0,closest_use_2024,"['Nicolas Ajzenman', [{'entity': 'B-PER', 'score': 0.99947554, 'index': 1, 'word': 'Nicolas', 'start': 0, 'end': 7}, {'entity': 'I-PER', 'score': 0.99938476, 'index': 2, 'word': 'A', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.99177635, 'index': 3, 'word': '##j', 'start': 9, 'end': 10}, {'entity': 'I-PER', 'score': 0.98532945, 'index': 4, 'word': '##zen', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.9633968, 'index': 5, 'word': '##man', 'start': 13, 'end': 16}], 'Nicolas Ajzenman']","[['Nicolas Ajzenman', 'PERSON']]",Nicolas Ajzenman,True,,Nicolas,,Ajzenman,,,Male,0,Nicolas Ajzenman,0.004903761,0.004358495,0.97748315,0.013254564,nh_black,0
1,2,2,McGill,Economics,Francisco Alvarez-Cuadrado,Associate Professor,PhD,University of Washington,2004.0,1.0,0.0,10.0,2.0,2011.0,,,,,,,,82.0,University of Washington,100.0,157.0,University of Washington,100.0,82.0,closest_use_2005,"['Francisco Alvarez-Cuadrado', [{'entity': 'B-PER', 'score': 0.99883217, 'index': 1, 'word': 'Francisco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.9990357, 'index': 2, 'word': 'Alvarez', 'start': 10, 'end': 17}, {'entity': 'I-PER', 'score': 0.70006645, 'index': 3, 'word': '-', 'start': 17, 'end': 18}, {'entity': 'I-PER', 'score': 0.9985751, 'index': 4, 'word': 'C', 'start': 18, 'end': 19}, {'entity': 'I-PER', 'score': 0.6803117, 'index': 5, 'word': '##uad', 'start': 19, 'end': 22}, {'entity': 'I-PER', 'score': 0.987186, 'index': 6, 'word': '##rado', 'start': 22, 'end': 26}], 'Francisco Alvarez-Cuadrado']","[['Francisco Alvarez-Cuadrado', 'PERSON']]",Francisco Alvarez-Cuadrado,True,,Francisco,,Alvarez-Cuadrado,,,Male,0,Francisco Alvarez-Cuadrado,0.0004089866,0.9881048,0.00061393704,0.010872232,hispanic,0
2,3,3,McGill,Economics,Francesco Amodio,Associate Professor,PhD,Universitat Pompeu Fabra,2015.0,0.0,3.0,10.0,2.0,2024.0,,,,,,,,47.0,Universitat Pompeu Fabra,100.0,77.0,"Universitat Pompeu Fabra, Barcelona School of Economics (BSE)",90.0,77.0,closest_use_2024,"['Francesco Amodio', [{'entity': 'B-PER', 'score': 0.9985214, 'index': 1, 'word': 'Francesco', 'start': 0, 'end': 9}, {'entity': 'I-PER', 'score': 0.99903405, 'index': 2, 'word': 'Am', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.99298465, 'index': 3, 'word': '##od', 'start': 12, 'end': 14}, {'entity': 'I-PER', 'score': 0.9814804, 'index': 4, 'word': '##io', 'start': 14, 'end': 16}], 'Francesco Amodio']",[],Francesco Amodio,True,,Francesco,,Amodio,,,Male,0,Francesco Amodio,0.01836643,0.22815703,0.00974635,0.7437302,nh_white,1
3,4,4,McGill,Economics,Daniel Barczyk,Associate Professor,PhD,New York University,2011.0,0.0,3.0,6.0,,2020.0,,,,,,,,4.0,New York University,100.0,18.0,New York University (NYU),95.0,4.0,closest_use_2005,"['Daniel Barczyk', [{'entity': 'B-PER', 'score': 0.99938357, 'index': 1, 'word': 'Daniel', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99928063, 'index': 2, 'word': 'Bar', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.99562657, 'index': 3, 'word': '##cz', 'start': 10, 'end': 12}, {'entity': 'I-PER', 'score': 0.9666394, 'index': 4, 'word': '##yk', 'start': 12, 'end': 14}], 'Daniel Barczyk']","[['Daniel Barczyk', 'PERSON']]",Daniel Barczyk,True,,Daniel,,Barczyk,,,Male,0,Daniel Barczyk,0.0027051615,0.040798575,0.81824046,0.1382558,nh_black,0
4,5,5,McGill,Economics,Leonie Baumann,Assistant Professor,PhD, University of Hamburg,2017.0,5.0,-8.0,7.0,5.0,2019.0,,,,,,,,,,,,,,,,"['Leonie Baumann', [{'entity': 'B-PER', 'score': 0.9979715, 'index': 1, 'word': 'Leon', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.9109029, 'index': 2, 'word': '##ie', 'start': 4, 'end': 6}, {'entity': 'I-PER', 'score': 0.9993056, 'index': 3, 'word': 'Ba', 'start': 7, 'end': 9}, {'entity': 'I-PER', 'score': 0.9933722, 'index': 4, 'word': '##uman', 'start': 9, 'end': 13}, {'entity': 'I-PER', 'score': 0.89696455, 'index': 5, 'word': '##n', 'start': 13, 'end': 14}], 'Leonie Baumann']","[['Leonie Baumann', 'PERSON']]",Leonie Baumann,True,,Leonie,,Baumann,,,Female,1,Leonie Baumann,0.008873749,0.03274458,0.06266767,0.895714,nh_white,1
5,6,6,McGill,Economics,Hassan Benchekroun,Professor,PhD,Université Laval,1998.0,1.0,0.0,48.0,2.0,2021.0,,,,,,,,,,,,,,,,"['Hassan Benchekroun', [{'entity': 'B-PER', 'score': 0.99905044, 'index': 1, 'word': 'Hassan', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99924266, 'index': 2, 'word': 'Ben', 'start': 7, 'end': 10}, {'entity': 'I-PER', 'score': 0.998353, 'index': 3, 'word': '##che', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.97985727, 'index': 4, 'word': '##k', 'start': 13, 'end': 14}, {'entity': 'I-PER', 'score': 0.9259176, 'index': 5, 'word': '##rou', 'start': 14, 'end': 17}, {'entity': 'I-PER', 'score': 0.92719537, 'index': 6, 'word': '##n', 'start': 17, 'end': 18}], 'Hassan Benchekroun']","[['Hassan Benchekroun', 'PERSON']]",Hassan Benchekroun,True,,Hassan,,Benchekroun,,,Male,0,Hassan Benchekroun,0.07801559,0.083946876,0.070068404,0.76796913,nh_white,1
6,7,7,McGill,Economics,Robert D. Cairns,Professor,PhD,Massachusetts Institute of Technology,1978.0,0.0,23.0,49.0,,,,,,,,,,8.0,Massachusetts Institute of Technology,100.0,4.0,Massachusetts Institute of Technology (MIT),95.0,8.0,closest_use_2005,"['Robert D. Cairns', [{'entity': 'B-PER', 'score': 0.99830747, 'index': 1, 'word': 'Robert', 'start': 0, 'end': 6}, {'entity': 'I-PER', 'score': 0.99458826, 'index': 2, 'word': 'D', 'start': 7, 'end': 8}, {'entity': 'I-PER', 'score': 0.44446412, 'index': 3, 'word': '.', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.9973929, 'index': 4, 'word': 'Cairns', 'start': 10, 'end': 16}], 'Robert D. Cairns']","[['Robert D. Cairns', 'PERSON']]",Robert D. Cairns,True,,Robert,D.,Cairns,,,Male,0,Robert Cairns,0.002837285,0.009115712,0.71766436,0.2703827,nh_black,0
7,8,8,McGill,Economics,Santiago Camara,Assistant Professor,PhD,Northwestern University,2023.0,2.0,-3.0,2.0,,2023.0,,,,,,,,22.0,Northwestern University,100.0,39.0,Northwestern University,100.0,39.0,closest_use_2024,"['Santiago Camara', [{'entity': 'B-PER', 'score': 0.9979798, 'index': 1, 'word': 'Santiago', 'start': 0, 'end': 8}, {'entity': 'I-PER', 'score': 0.99880767, 'index': 2, 'word': 'Cam', 'start': 9, 'end': 12}, {'entity': 'I-PER', 'score': 0.9702363, 'index': 3, 'word': '##ara', 'start': 12, 'end': 15}], 'Santiago Camara']","[['Santiago Camara', 'PERSON']]",Santiago Camara,True,,Santiago,,Camara,,,Male,0,Santiago Camara,0.0031856545,0.81161094,0.019587636,0.16561574,hispanic,0
8,9,9,McGill,Economics,Rui Castro,Professor,PhD,University of Rochester,2000.0,0.0,3.0,13.0,,2017.0,,,,,,,,79.0,University of Rochester,100.0,248.0,University of Rochester,100.0,79.0,closest_use_2005,"['Rui Castro', [{'entity': 'B-PER', 'score': 0.9956813, 'index': 1, 'word': 'R', 'start': 0, 'end': 1}, {'entity': 'I-PER', 'score': 0.78430957, 'index': 2, 'word': '##ui', 'start': 1, 'end': 3}, {'entity': 'I-PER', 'score': 0.99814236, 'index': 3, 'word': 'Castro', 'start': 4, 'end': 10}], 'Rui Castro']","[['Rui Castro', 'PERSON']]",Rui Castro,True,,Rui,,Castro,,,Male,0,Rui Castro,0.013816344,0.4867419,0.021434022,0.47800782,hispanic,0
9,10,10,McGill,Economics,Saraswata Chaudhuri,Associate Professor,PhD,University of Washington,2008.0,0.0,1.0,10.0,5.0,,,,,,,,,82.0,University of Washington,100.0,157.0,University of Washington,100.0,82.0,closest_use_2005,"['Saraswata Chaudhuri', [{'entity': 'B-PER', 'score': 0.9815098, 'index': 1, 'word': 'Sara', 'start': 0, 'end': 4}, {'entity': 'I-PER', 'score': 0.67300373, 'index': 2, 'word': '##s', 'start': 4, 'end': 5}, {'entity': 'I-PER', 'score': 0.63659793, 'index': 3, 'word': '##wat', 'start': 5, 'end': 8}, {'entity': 'I-PER', 'score': 0.93644106, 'index': 4, 'word': '##a', 'start': 8, 'end': 9}, {'entity': 'I-PER', 'score': 0.99845433, 'index': 5, 'word': 'Cha', 'start': 10, 'end': 13}, {'entity': 'I-PER', 'score': 0.76012707, 'index': 6, 'word': '##ud', 'start': 13, 'end': 15}, {'entity': 'I-PER', 'score': 0.30579707, 'index': 8, 'word': '##i', 'start': 18, 'end': 19}], 'Saraswata Chaudhuri']",[],Saraswata Chaudhuri,True,,Saraswata,,Chaudhuri,,,Male,0,Saraswata Chaudhuri,0.80619234,0.042198364,0.04778418,0.10382512,asian,0
