Rank,AcademicUnit,University,,
1,Department of Economics, Harvard University,,
2,Economics Department, Massachusetts Institute of Technology (MIT),,
3,Department of Economics, University of California-Berkeley,,
4,Department of Economics, University of Chicago,,
5,Paris School of Economics,,,
6,Department of Economics, Princeton University,,
7,Department of Economics, Stanford University,,
8,Toulouse School of Economics (TSE),,,
9,Department of Economics, Oxford University,,
10,Department of Economics, School of Arts and Sciences, Columbia University,
11,Economics Department, Yale University,,
12,Department of Economics, New York University (NYU),,
13,Barcelona School of Economics (BSE),,,
14,Department of Economics, University of Pennsylvania,,
15,Economics Department, Brown University,,
16,Department of Economics, Boston University,,
17,Department of Economics, University of Southern California,,
18,Department of Economics, University College London (UCL),,
19,Economics Department, London School of Economics (LSE),,
20,Department of Economics, University of California-San Diego (UCSD),,
21,Department of Economics, Northwestern University,,
22,Economics Department, University of Michigan,,
23,Economics Department, Dartmouth College,,
24,Finance and Economics Department, Graduate School of Business, Columbia University,
25,Department of Economics, University of California-Los Angeles (UCLA),,
26,Vancouver School of Economics, University of British Columbia,,
27,School of Economics and Management, Universiteit van Tilburg,,
28,Economics Department, University of Wisconsin-Madison,,
29,Economics Department, Michigan State University,,
30,Department of Economics, Duke University,,
31,Department of Economics, Cornell University,,
32,Department of Economics, University of Toronto,,
33,Department of Economics, Boston College,,
34,Department of Economics, University of Warwick,,
35,Institut für Volkswirtschaftslehre, Wirtschaftswissenschaftliche Fakutält, Universität Zürich,
36,Economics Department, University of California-Davis,,
37,Department of Economics, Monash Business School, Monash University,
38,Faculteit Economie en Bedrijfskunde, Rijksuniversiteit Groningen,,
39,School of Economics, University of Nottingham,,
40,Dipartimento di Scienze Economiche, Alma Mater Studiorum - Università di Bologna,,
41,Department of Economics, University of Maryland,,
42,Department of Economics, University of California-Irvine,,
43,École d'Économie d'Aix-Marseille, Aix-Marseille Université,,
44,Department of Economics, Sciences économiques, Sciences Po,
45,Department of Economics, Vanderbilt University,,
46,Faculty of Economics, University of Cambridge,,
47,Department of Economics, University of Texas-Austin,,
48,School of Business and Economics, Vrije Universiteit Amsterdam,,
49,Institut for Økonomi, Aarhus Universitet,,
50,Department of Economics, Johns Hopkins University,,
51,Faculteit Economie en Bedrijfswetenschappen, KU Leuven,,
52,Economics Department, Queen's University,,
53,Centro de Estudios Monetarios y Financieros (CEMFI),,,
54,Department of Economics, University of Notre Dame,,
55,Faculteit der Economische Wetenschappen, Erasmus Universiteit Rotterdam,,
56,Department of Economics, University of Western Ontario,,
57,Økonomisk Institut, Københavns Universitet,,
58,Department of Economics and Related Studies, University of York,,
59,School of Economics, University of Queensland,,
60,Faculteit Economie en Bedrijfskunde, Universiteit van Amsterdam,,
61,Department of Economics, University of Virginia,,
62,Economics Department, Georgetown University,,
63,Department of Economics, University of Minnesota,,
64,Department of Economics, University of California-Santa Barbara (UCSB),,
65,Department of Economics, Pennsylvania State University,,
66,College of Business and Economics, Australian National University,,
67,Department of Economics, Rutgers University-New Brunswick,,
68,Department of Economics, Ohio State University,,
69,Department of Economics, Washington University in St. Louis,,
70,Economics Department, Stern School of Business, New York University (NYU),
71,Volkswirtschaftliche Fakultät, Ludwig-Maximilians-Universität München,,
72,Department of Economics, University of Colorado,,
73,Eitan Berglas School of Economics, Tel Aviv University,,
74,Fachbereich Wirtschaftswissenschaft, Goethe Universität Frankfurt am Main,,
75,Økonomisk institutt, Universitetet i Oslo,,
76,Departamento de Economía, Universidad Carlos III de Madrid,,
77,Economics Department, University of California-Santa Cruz (UCSC),,
78,Dipartimenti e Istituti di Scienze Economiche, Università Cattolica del Sacro Cuore,,
79,Department of Economics, Hebrew University of Jerusalem,,
80,Department of Economics, W.P. Carey School of Business, Arizona State University,
81,School of Economics, UNSW Business School, UNSW Sydney,
82,Facoltà di Economia," Università degli Studi di Roma ""Tor Vergata""",,
83,Department of Economics, George Washington University,,
84,Wirtschaftswissenschaftlicher Fachbereich, Rheinische Friedrich-Wilhelms-Universität Bonn,,
85,School of Economics, Faculty of Arts and Social Sciences, University of Sydney,
86,Abteilung für Volkswirtschaftslehre, Universität Mannheim,,
87,Department of Economics, University of Washington,,
88,Department of Economics, McGill University,,
89,Department of Economics, University of Pittsburgh,,
90,Economics Department, Williams College,,
91,Economics Department, Eller College of Management, University of Arizona,
92,Department of Economics, Andrew Young School of Policy Studies, Georgia State University,
93,Department of Economics, Tufts University,,
94,Department of Finance and Business Economics, Marshall School of Business, University of Southern California,
95,Ekonomihögskolan, Lunds Universitet,,
96,"Dipartimento di Economia ""Ettore Bocconi""", Università Commerciale Luigi Bocconi,,
97,Faculty of Economics, University of Tokyo,,
98,School of Economics and Finance, Queen Mary University of London,,
99,Department of Economics, Adam Smith Business School, University of Glasgow,
100,Department of Economics, Iowa State University,,
101,Department of Economics, School of Social Sciences, University of Manchester,
102,Department of Economics, Texas A&M University,,
103,Department of Economics, University of Illinois at Urbana-Champaign,,
104,Facoltà di Economia," ""Sapienza"" Università di Roma",,
105,Economics Department, University of Essex,,
106,School of Economics, Universitat de Barcelona,,
107,Faculteit Economie en Bedrijfskunde, Universiteit Gent,,
108,Economics Department, George Mason University,,
109,Department of Economics, Simon Fraser University,,
110,Department of Economics, Emory University,,
111,Faculty of Business and Economics, University of Hong Kong,,
112,Department of Economics, Mitchell E. Daniels, Jr. School of Business, Purdue University
113,Institutt for samfunnsøkonomi, Norges Handelshøyskole (NHH),,
114,Nationalekonomiska Institutionen, Uppsala Universitet,,
115,Department Volkswirtschaftlehre, Universität Bern,,
116,School of Economics, University of Edinburgh,,
117,Department of Economics, Stockholm School of Economics,,
118,School of Economics, University College Dublin,,
119,Division of Social Sciences, California Institute of Technology,,
120,Department of Economics, Indiana University,,
121,Department of Economics, University of Oregon,,
